WardCode,Ward Name,Borough,Major Category,Minor Category,201004,201005,201006,201007,201008,201009,201010,201011,201012,201101,201102,201103,201104,201105,201106,201107,201108,201109,201110,201111,201112,201201,201202,201203,201204,201205,201206,201207,201208,201209,201210,201211,201212,201301,201302,201303,201304,201305,201306,201307,201308,201309,201310,201311,201312,201401,201402,201403,201404,201405,201406,201407,201408,201409,201410,201411,201412,201501,201502,201503,201504,201505,201506,201507,201508,201509,201510,201511,201512,201601,201602,201603,201604,201605,201606,201607,201608,201609,201610,201611,201612,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712,201801,201802,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812
E05000026,Abbey,Barking and Dagenham,Burglary,Burglary In A Dwelling,9,4,6,6,12,5,3,11,8,8,7,4,7,13,5,4,5,8,8,7,7,9,6,5,6,9,6,6,4,5,5,11,1,6,9,9,1,6,4,5,5,2,2,6,3,5,5,9,2,6,3,4,2,2,1,6,5,0,7,1,7,4,2,2,6,3,2,7,3,4,6,5,2,2,10,3,2,3,1,3,3,3,1,7,12,12,3,5,4,3,3,4,3,7,6,8,5,5,4,6,3,6,6,4,8
E05000027,Alibon,Barking and Dagenham,Burglary,Burglary In A Dwelling,7,3,8,12,12,14,4,8,7,8,8,10,12,8,8,11,9,5,3,9,4,11,15,17,10,9,8,6,5,3,6,7,5,10,14,4,2,6,3,3,2,1,6,3,5,7,4,11,7,4,4,5,5,0,6,10,7,9,4,5,3,1,1,5,2,5,4,3,8,6,5,7,2,5,4,5,0,0,2,2,5,4,8,3,5,5,11,9,4,0,4,1,1,8,8,7,1,5,3,2,4,4,8,4,10
E05000028,Becontree,Barking and Dagenham,Burglary,Burglary In A Dwelling,10,6,21,7,13,8,4,12,9,16,9,21,10,6,7,10,10,15,10,13,12,18,3,14,10,14,6,14,11,8,12,12,18,13,9,12,20,9,7,5,4,7,16,15,10,6,6,8,2,10,11,6,13,9,11,8,9,19,7,2,5,8,2,7,5,6,10,3,9,8,7,6,4,2,6,4,4,4,4,6,5,12,15,4,5,14,5,10,5,7,15,5,11,7,6,7,8,6,4,7,3,6,5,10,9
E05000029,Chadwell Heath,Barking and Dagenham,Burglary,Burglary In A Dwelling,10,10,11,8,13,7,12,16,4,18,8,18,9,6,6,7,13,7,10,11,15,14,9,13,10,15,8,14,10,7,10,14,13,13,10,8,11,10,10,5,8,7,11,10,7,12,7,6,7,6,5,11,6,5,7,13,6,6,10,9,3,2,7,7,6,4,6,12,10,7,3,4,1,7,2,5,2,4,3,4,11,10,6,7,7,4,2,2,4,3,5,4,11,12,10,7,5,8,6,5,4,8,5,10,8
E05000030,Eastbrook,Barking and Dagenham,Burglary,Burglary In A Dwelling,3,5,2,6,4,4,8,3,6,10,4,7,7,4,2,3,4,6,8,16,14,9,10,8,8,11,6,3,4,5,5,6,8,11,10,5,8,8,5,7,3,2,6,5,5,6,5,5,1,4,2,13,4,8,10,8,7,6,0,6,0,2,5,5,5,3,4,5,7,5,7,1,3,3,1,4,2,7,8,2,7,2,4,7,2,8,3,5,3,5,3,3,2,11,2,5,2,1,2,3,3,6,6,11,2
E05000031,Eastbury,Barking and Dagenham,Burglary,Burglary In A Dwelling,8,3,2,12,18,12,10,4,5,10,8,4,6,6,9,9,4,4,8,10,9,3,12,9,10,6,10,11,6,14,4,15,19,11,10,12,6,4,2,7,10,4,4,11,4,5,7,12,10,3,8,8,13,5,5,8,10,15,9,11,5,5,10,3,4,5,11,12,8,4,5,3,3,2,5,3,3,2,5,7,8,6,14,9,11,6,4,8,4,10,8,10,9,15,15,13,9,8,9,8,6,9,6,16,8
E05000032,Gascoigne,Barking and Dagenham,Burglary,Burglary In A Dwelling,7,6,7,8,3,2,5,5,2,11,9,5,5,7,9,5,3,8,11,11,9,6,13,4,10,7,7,11,10,10,6,4,8,6,5,4,4,5,7,9,4,1,5,3,3,3,6,7,3,3,4,1,4,3,9,5,6,11,4,11,5,6,3,10,4,5,7,5,8,5,4,2,2,7,3,1,4,3,0,3,6,8,2,14,6,10,4,6,8,7,10,2,2,2,9,6,2,2,8,8,5,3,7,2,5
E05000033,Goresbrook,Barking and Dagenham,Burglary,Burglary In A Dwelling,10,3,10,9,14,9,9,18,8,7,4,12,6,17,3,5,3,2,7,3,4,9,3,12,8,3,6,4,7,1,15,11,11,17,15,13,11,9,8,4,4,4,10,12,8,8,5,7,7,6,3,8,16,9,3,8,15,17,4,6,2,2,3,5,3,2,4,8,11,9,0,2,3,1,3,2,2,3,5,4,2,8,9,7,2,4,6,6,4,3,7,6,13,4,6,6,5,7,8,5,12,10,5,4,12
E05000034,Heath,Barking and Dagenham,Burglary,Burglary In A Dwelling,8,7,9,10,7,3,15,10,8,13,8,12,15,9,6,4,4,2,17,16,16,11,9,11,3,5,5,4,5,6,10,19,11,10,12,18,10,10,5,3,10,9,8,10,9,1,4,8,5,10,8,7,5,6,6,17,4,11,3,5,4,2,1,6,4,5,6,4,4,3,4,8,1,5,2,1,2,2,6,2,3,2,6,8,9,10,6,10,5,4,17,3,5,4,4,6,6,4,4,9,2,3,4,7,9
