PostDist,Unnamed: 0,Studio,One Bed,Two Beds,Three Beds,Four Beds,Five Beds,latitude,longitude,Place,distance_from_uni
BR1,0.0,313.0,263.0,287.0,381.0,498.0,1300.0,51.415207200000005,0.029229400000000003,['Bromley'],17013.05051825897
CR0,1.0,197.0,280.0,355.0,654.0,803.0,1300.0,51.3627294,-0.0642075,['Croyon'],16984.254403570016
E1,11.666666666666666,327.0,408.6666666666667,513.6666666666666,797.3333333333334,500.6666666666667,1300.0,51.51762279999999,-0.0557553,['Bethnal Green'],8653.20527955435
E11,13.0,313.0,173.0,477.5,595.0,803.0,1300.0,51.5728525,0.0176348,['Bow'],15800.360244799924
E14,6.333333333333333,342.3333333333333,383.6666666666667,483.0,593.6666666666666,717.6666666666666,1300.0,51.509750200000006,-0.017595,"['Canary Wharf', 'Isle of Dogs', 'Mudchute']",11098.324408315664
E15,10.0,285.0,347.0,378.0,422.0,541.0,341.0,51.541295,0.005870899999999999,['Canning Town'],13516.917605598397
E16,5.0,313.0,343.0,422.0,494.0,833.0,1300.0,51.50974779999999,0.029328500000000004,['Hackney'],14329.641313892009
E17,12.0,274.0,191.0,341.0,469.0,557.0,1300.0,51.590176899999996,-0.0173437,"['Spitalfield', 'Tower Hill', 'Whitechapel']",15032.649478156694
E1W,14.0,337.0,454.0,597.0,815.0,803.0,1300.0,51.50579570000001,-0.057199099999999996,['Stratford'],8326.157370633206
E2,2.0,292.0,370.0,461.0,583.0,622.0,1300.0,51.52813399999999,-0.06165119999999999,['Walthamstow'],8634.922331240432
E3,3.0,313.0,313.0,371.0,481.0,612.0,637.0,51.5281483,-0.0205416,['Wanstead'],11315.425886868863
E8,6.0,222.0,338.0,423.0,585.0,738.0,1200.0,51.5439083,-0.0616861,['Wapping'],9444.238885163179
EC1M,21.0,326.0,437.0,565.0,905.0,803.0,1300.0,51.52087849999999,-0.10056469999999999,"['Angel', 'Clerkenwell']",5846.030489491375
EC1V,18.0,378.0,456.0,611.5,719.5,797.0,1300.0,51.52679699999999,-0.0954415,"['Barbican', 'Moorgate']",6463.19582929939
EC2Y,21.0,459.0,591.0,774.0,1550.0,1200.0,1300.0,51.519571500000005,-0.0917434,['Blackfriars'],6347.649063793057
EC4N,23.0,313.0,370.0,477.5,654.0,803.0,1300.0,51.512017799999995,-0.0884137,['Farringdon'],6309.556429728427
EC4R,22.0,313.0,370.0,477.5,654.0,803.0,1300.0,51.5103739,-0.0902444,['London Bridge'],6144.428108355935
EC4V,19.0,310.0,368.0,565.0,2708.0,803.0,1300.0,51.511682,-0.0975934,['Mansion House'],5685.123645869799
HA9,26.0,313.0,302.0,438.0,485.0,623.0,554.0,51.5619784,-0.2887325,['Wembley'],10483.321792768698
KT1,27.0,313.0,328.0,381.0,609.0,615.0,635.0,51.4069509,-0.30182919999999996,['Kingston upon Thames'],13350.916641776112
N1,34.0,290.0,404.3333333333333,522.3333333333334,689.3333333333334,978.6666666666666,1300.0,51.541262100000004,-0.0881388,['Crouch End'],7776.491074907158
N10,36.0,200.0,283.0,443.0,472.0,604.0,1300.0,51.59644429999999,-0.1443287,"['Dalston', 'Islington', 'Shoreditch']",11136.952432879129
N15,37.0,313.0,312.0,366.0,457.0,803.0,754.0,51.5833519,-0.07649299999999999,['East Finchley'],11727.603247418157
N2,30.0,313.0,302.0,329.0,4494.0,404.0,1300.0,51.591150299999995,-0.16790170000000001,['Finchley'],10336.976268860055
N20,40.0,313.0,323.0,413.0,446.0,803.0,1300.0,51.63585519999999,-0.1947779,['Highbury & Islington'],15339.100618184555
N3,31.0,232.0,314.0,346.0,467.0,787.0,850.0,51.60164,-0.19158570000000003,['Highgate'],11529.496613606352
N5,32.0,313.0,377.0,507.0,743.0,1092.0,1863.0,51.5544028,-0.0970072,"['Holloway', 'Tufnell Park']",8329.622641844258
N6,33.0,313.0,321.0,431.0,764.0,2663.0,1535.0,51.575388700000005,-0.15011549999999999,['Muswell Hill'],8763.59675717231
N7,36.5,241.0,337.5,401.0,553.5,725.0,1300.0,51.5543869,-0.11466580000000001,['Seven Sisters'],7572.982279499649
N8,28.0,246.0,313.0,388.0,489.0,803.0,735.0,51.5833118,-0.1236257,['Whetstone'],10139.564052338379
NW1,50.375,344.875,462.875,621.0,958.375,1220.375,3967.75,51.530687199999996,-0.14693200000000003,"['Baker street', 'Camden', 'Chalk Farm', 'Euston', ""King's Cross Saint Pancras"", 'Marylebone', 'Primrose Hill', 'Warren Street']",4150.079764084332
NW10,57.0,313.0,312.5,418.5,508.5,783.5,1153.5,51.54102289999999,-0.2530945,"['Belsize Park', 'Hampstead', 'Swiss Cottage']",7092.7081804302925
NW11,49.0,274.0,326.0,420.0,509.0,860.0,924.0,51.5832162,-0.1944106,"['Cricklewood', 'Dollis Hill']",9513.468606445069
NW2,45.5,285.5,325.0,386.0,500.0,676.0,1001.5,51.5621085,-0.2296683,['Edgware Road'],7973.733532582357
NW3,50.666666666666664,766.0,450.3333333333333,722.6666666666666,1114.3333333333333,2429.6666666666665,2734.3333333333335,51.551689399999994,-0.17061110000000002,['Golders Green'],5946.311506919295
NW5,52.0,351.0,360.0,420.0,666.0,922.0,949.0,51.554354499999995,-0.14411110000000002,"['Kensal Rise', 'Willesden']",6626.909692763359
NW6,58.0,262.75,361.5,468.0,590.25,921.5,1340.0,51.5437594,-0.1970833,['Kentish Town'],5238.308776715242
