,Place,Studio,One Bed,Two Beds,Three Beds,Four Beds,Five Beds,PostDist,latitude,longitude
0,Bromley,313.0,263.0,287.0,381.0,498.0,1300.0,BR1,51.5195418,-0.1240786
1,Croyon,197.0,280.0,355.0,654.0,803.0,1300.0,CR0,51.5195418,-0.1240786
2,Bethnal Green,292.0,370.0,461.0,583.0,622.0,1300.0,E2,51.5195418,-0.1240786
3,Bow,313.0,313.0,371.0,481.0,612.0,637.0,E3,51.5195418,-0.1240786
4,Canary Wharf,405.0,507.0,585.0,719.0,803.0,1300.0,E14,51.5195418,-0.1240786
5,Canning Town,313.0,343.0,422.0,494.0,833.0,1300.0,E16,51.5195418,-0.1240786
6,Hackney,222.0,338.0,423.0,585.0,738.0,1200.0,E8,51.5195418,-0.1240786
7,Isle of Dogs,311.0,322.0,432.0,531.0,647.0,1300.0,E14,51.5195418,-0.1240786
8,Mudchute,311.0,322.0,432.0,531.0,703.0,1300.0,E14,51.5195418,-0.1240786
9,Spitalfield,294.0,408.0,524.0,808.0,608.0,1300.0,E1,51.5195418,-0.1240786
10,Stratford,285.0,347.0,378.0,422.0,541.0,341.0,E15,51.5195418,-0.1240786
11,Tower Hill,342.0,422.0,515.0,819.0,466.0,1300.0,E1,51.5195418,-0.1240786
12,Walthamstow,274.0,191.0,341.0,469.0,557.0,1300.0,E17,51.5195418,-0.1240786
13,Wanstead,313.0,173.0,477.5,595.0,803.0,1300.0,E11,51.5195418,-0.1240786
14,Wapping,337.0,454.0,597.0,815.0,803.0,1300.0,E1W,51.5195418,-0.1240786
15,Whitechapel,345.0,396.0,502.0,765.0,428.0,1300.0,E1,51.5195418,-0.1240786
16,Angel,378.0,457.0,611.0,719.0,797.0,1300.0,EC1V,51.5195418,-0.1240786
17,Bank,639.0,613.0,1357.0,1814.0,15600.0,1300.0,EC3,51.5195418,-0.1240786
18,Barbican,459.0,591.0,774.0,1550.0,1200.0,1300.0,EC2Y,51.5195418,-0.1240786
19,Blackfriars,310.0,368.0,565.0,2708.0,803.0,1300.0,EC4V,51.5195418,-0.1240786
20,Clerkenwell,378.0,455.0,612.0,720.0,797.0,1300.0,EC1V,51.5195418,-0.1240786
21,Farringdon,326.0,437.0,565.0,905.0,803.0,1300.0,EC1M,51.5195418,-0.1240786
22,London Bridge,313.0,370.0,477.5,654.0,803.0,1300.0,EC4R,51.5195418,-0.1240786
23,Mansion House,313.0,370.0,477.5,654.0,803.0,1300.0,EC4N,51.5195418,-0.1240786
24,Moorgate,459.0,591.0,774.0,1550.0,1200.0,1300.0,EC2Y,51.5195418,-0.1240786
25,The City,313.0,370.0,477.5,654.0,803.0,1300.0,EC3,51.5195418,-0.1240786
26,Wembley,313.0,302.0,438.0,485.0,623.0,554.0,HA9,51.5195418,-0.1240786
27,Kingston upon Thames,313.0,328.0,381.0,609.0,615.0,635.0,KT1,51.5195418,-0.1240786
28,Crouch End,246.0,313.0,388.0,489.0,803.0,735.0,N8,51.5195418,-0.1240786
29,Dalston,216.0,375.0,497.0,654.0,1066.0,1300.0,N1,51.5195418,-0.1240786
30,East Finchley,313.0,302.0,329.0,4494.0,404.0,1300.0,N2,51.5195418,-0.1240786
31,Finchley,232.0,314.0,346.0,467.0,787.0,850.0,N3,51.5195418,-0.1240786
32,Highbury & Islington,313.0,377.0,507.0,743.0,1092.0,1863.0,N5,51.5195418,-0.1240786
33,Highgate,313.0,321.0,431.0,764.0,2663.0,1535.0,N6,51.5195418,-0.1240786
34,Holloway,243.0,335.0,404.0,557.0,709.0,1300.0,N7,51.5195418,-0.1240786
35,Islington,280.0,433.0,554.0,769.0,1018.0,1300.0,N1,51.5195418,-0.1240786
36,Muswell Hill,200.0,283.0,443.0,472.0,604.0,1300.0,N10,51.5195418,-0.1240786
37,Seven Sisters,313.0,312.0,366.0,457.0,803.0,754.0,N15,51.5195418,-0.1240786
38,Shoreditch,374.0,405.0,516.0,645.0,852.0,1300.0,N1,51.5195418,-0.1240786
39,Tufnell Park,239.0,340.0,398.0,550.0,741.0,1300.0,N7,51.5195418,-0.1240786
40,Whetstone,313.0,323.0,413.0,446.0,803.0,1300.0,N20,51.5195418,-0.1240786
41,Baker street,347.0,567.0,660.0,1284.0,1555.0,1300.0,NW1,51.5195418,-0.1240786
42,Belsize Park,284.0,413.0,592.0,1023.0,1549.0,2511.0,NW3,51.5195418,-0.1240786
43,Camden,334.0,389.0,575.0,870.0,951.0,1300.0,NW1,51.5195418,-0.1240786
44,Chalk Farm,332.0,425.0,615.0,1026.0,1314.0,3475.0,NW1,51.5195418,-0.1240786
45,Cricklewood,258.0,314.0,376.0,515.0,650.0,703.0,NW2,51.5195418,-0.1240786
46,Dollis Hill,313.0,336.0,396.0,485.0,702.0,1300.0,NW2,51.5195418,-0.1240786
47,Edgware Road,313.0,370.0,477.5,654.0,803.0,600.0,NW9,51.5195418,-0.1240786
48,Euston,355.0,426.0,620.0,732.0,887.0,8800.0,NW1,51.5195418,-0.1240786
49,Golders Green,274.0,326.0,420.0,509.0,860.0,924.0,NW11,51.5195418,-0.1240786
50,Hampstead,1007.0,476.0,789.0,1160.0,2896.0,2846.0,NW3,51.5195418,-0.1240786
51,Kensal Rise,313.0,352.0,399.0,561.0,853.0,1007.0,NW10,51.5195418,-0.1240786
52,Kentish Town,351.0,360.0,420.0,666.0,922.0,949.0,NW5,51.5195418,-0.1240786
53,Kilburn,242.0,350.0,461.0,533.0,844.0,1305.0,NW6,51.5195418,-0.1240786
54,King's Cross Saint Pancras,359.0,467.0,556.0,685.0,771.0,1300.0,NW1,51.5195418,-0.1240786
55,Marylebone,347.0,567.0,660.0,1284.0,1555.0,1300.0,NW1,51.5195418,-0.1240786
56,Mill Hill,313.0,370.0,438.0,412.0,803.0,1200.0,NW7,51.5195418,-0.1240786
57,Primrose Hill,336.0,450.0,648.0,1120.0,1759.0,3475.0,NW1,51.5195418,-0.1240786
58,Queens Park,262.0,373.0,463.0,588.0,1154.0,1300.0,NW6,51.5195418,-0.1240786
59,St John's Wood,262.0,362.0,494.0,605.0,803.0,1305.0,NW6,51.5195418,-0.1240786
