PostDist,TransportMode,duration
BR1,walking,14921
BR1,bicycling,4474
BR1,bus,5985
BR1,subway,3772
CR0,walking,11946
CR0,bicycling,3787
CR0,bus,2651
CR0,subway,2196
E2,walking,7225
E2,bicycling,2536
E2,bus,3662
E2,subway,2646
E3,walking,8981
E3,bicycling,2784
E3,bus,3878
E3,subway,2522
E14,walking,9084
E14,bicycling,3003
E14,bus,3865
E14,subway,2593
E16,walking,11794
E16,bicycling,3858
E16,bus,6025
E16,subway,2800
E8,walking,8146
E8,bicycling,2833
E8,bus,3649
E8,subway,2979
E1,walking,7038
E1,bicycling,2360
E1,bus,3597
E1,subway,2282
E15,walking,11283
E15,bicycling,3367
E15,bus,5136
E15,subway,3403
E17,walking,13196
E17,bicycling,4230
E17,bus,5341
E17,subway,3063
E11,walking,13309
E11,bicycling,4033
E11,bus,6460
E11,subway,3615
E1W,walking,7215
E1W,bicycling,2524
E1W,bus,3675
E1W,subway,2348
EC1V,walking,5429
EC1V,bicycling,2062
EC1V,bus,2870
EC1V,subway,2838
EC3,walking,5625
EC3,bicycling,1933
EC3,bus,2888
EC3,subway,1907
EC2Y,walking,5293
EC2Y,bicycling,2230
EC2Y,bus,2597
EC2Y,subway,2318
EC4V,walking,4680
EC4V,bicycling,1600
EC4V,bus,2480
EC4V,subway,1575
EC1M,walking,4753
EC1M,bicycling,1828
EC1M,bus,2769
EC1M,subway,2403
EC4R,walking,5123
EC4R,bicycling,1762
EC4R,bus,2270
EC4R,subway,1585
EC4N,walking,5203
EC4N,bicycling,1794
EC4N,bus,2042
EC4N,subway,1541
HA9,walking,8910
HA9,bicycling,2953
HA9,bus,3908
HA9,subway,2931
KT1,walking,11004
KT1,bicycling,3635
KT1,bus,4084
KT1,subway,3851
N8,walking,8725
N8,bicycling,2983
N8,bus,4264
N8,subway,3151
N1,walking,6681
N1,bicycling,2502
N1,bus,3384
N1,subway,2544
N2,walking,8925
N2,bicycling,2740
N2,bus,4292
N2,subway,3198
N3,walking,10290
N3,bicycling,2933
N3,bus,3686
N3,subway,2976
N5,walking,7210
N5,bicycling,2757
N5,bus,3372
N5,subway,2404
N6,walking,7851
N6,bicycling,2449
N6,bus,3754
N6,subway,2928
N7,walking,6819
N7,bicycling,2641
N7,bus,3601
N7,subway,1815
N10,walking,9808
N10,bicycling,3100
N10,bus,4368
N10,subway,3250
N15,walking,9926
N15,bicycling,3595
N15,bus,4718
N15,subway,2262
N20,walking,13563
N20,bicycling,4057
N20,bus,5418
N20,subway,4195
NW1,walking,3733
NW1,bicycling,1340
NW1,bus,2589
NW1,subway,2248
NW3,walking,5353
NW3,bicycling,1615
NW3,bus,2902
NW3,subway,2607
NW2,walking,6706
NW2,bicycling,1993
NW2,bus,3493
NW2,subway,3431
NW9,walking,9209
NW9,bicycling,2461
NW9,bus,3757
NW9,subway,3338
NW11,walking,8262
NW11,bicycling,2469
NW11,bus,3605
NW11,subway,3889
NW10,walking,5940
NW10,bicycling,2075
NW10,bus,3022
NW10,subway,3446
