,postcodes,names,distance,type_major,type_minor
0,BR1,EL&N,16270,restaurants,Café
1,BR1,L'ETO Caffè,16458,restaurants,Café
2,BR1,EL&N,16179,restaurants,Café
3,BR1,The Coffee Bar,16272,restaurants,Coffee Shop
4,BR1,North Audley Cantine (NAC),16655,restaurants,French Restaurant
5,BR1,Richoux,16398,restaurants,Café
6,BR1,JOE & THE JUICE,16738,restaurants,Juice Bar
7,BR1,Novikov,15767,restaurants,Asian Restaurant
8,BR1,Where Magic Happens,13025,restaurants,Caribbean Restaurant
9,BR1,Din Tai Fung,15029,restaurants,Dumpling Restaurant
10,BR1,Fait Maison,17423,restaurants,Mediterranean Restaurant
11,BR1,Fortnum & Mason,15592,restaurants,Department Store
12,BR1,% Arabica,15114,restaurants,Coffee Shop
13,BR1,L'ETO Caffè,15908,restaurants,Café
14,BR1,Harry's Dolce Vita,16195,restaurants,Italian Restaurant
15,BR1,Drunch,16441,restaurants,Café
16,BR1,Ozone Coffee Roasters,14601,restaurants,Coffee Shop
17,BR1,Beit El Zaytoun,24136,restaurants,Middle Eastern Restaurant
18,BR1,Pear Tree Cafe,14433,restaurants,Café
19,BR1,Chelsea Bridge Burger,14535,restaurants,Burger Joint
20,BR1,Shoreditch Grind,14744,restaurants,Coffee Shop
21,BR1,Starbucks,14721,restaurants,Coffee Shop
22,BR1,The Monocle Café,17189,restaurants,Café
23,BR1,EL&N,16701,restaurants,Café
24,BR1,Cobham Services (Extra),32637,restaurants,Rest Area
25,BR1,De Beauvoir Deli,16132,restaurants,Deli / Bodega
26,BR1,Sketch,16062,restaurants,Modern European Restaurant
27,BR1,Caravan King's Cross,17132,restaurants,Breakfast Spot
28,BR1,The Old Brewery,7968,restaurants,Brewery
29,BR1,Dishoom,14218,restaurants,Indian Restaurant
30,BR1,Chapati & Karak,16401,restaurants,Café
31,BR1,Plaza Pastor,17246,restaurants,Mexican Restaurant
32,BR1,Dishoom,17218,restaurants,Indian Restaurant
33,BR1,Circolo Popolare by Big Mamma,16027,restaurants,Italian Restaurant
34,BR1,The Walton Village,31279,restaurants,Restaurant
35,BR1,Pavilion Cafe,14077,restaurants,Café
36,BR1,BOXPARK Shoreditch,14116,restaurants,Shopping Mall
37,BR1,Byron,14973,restaurants,Burger Joint
38,BR1,Wing Fu,11257,restaurants,Chinese Restaurant
39,BR1,Kingly Court,15917,restaurants,Food Court
40,BR1,Ladurée,15073,restaurants,Dessert Shop
41,BR1,COYA London,15781,restaurants,Latin American Restaurant
42,BR1,Amazonico,16029,restaurants,South American Restaurant
