,Place,Studio,One Bed,Two Beds,Three Beds,Four Beds,Five Beds,PostDist
0,Bromley,,263,287,381,498,,BR1
1,Croyon,197,280,355,,,,CR0
2,Bethnal Green,292,370,461,583,622,,E2
3,Bow,,313,371,481,612,637,E3
4,Canary Wharf,405,507,585,719,,,E14
5,Canning Town,,343,422,494,833,,E16
6,Hackney,222,338,423,585,738,1200,E8
7,Isle of Dogs,311,322,432,531,647,1300,E14
8,Mudchute,311,322,432,531,703,1300,E14
9,Spitalfield,294,408,524,808,608,,E1
10,Stratford,285,347,378,422,541,341,E15
11,Tower Hill,342,422,515,819,466,,E1
12,Walthamstow,274,191,341,469,557,,E17
13,Wanstead,,173,,595,,,E11
14,Wapping,337,454,597,815,,,E1W
15,Whitechapel,345,396,502,765,428,,E1
16,Angel,378,457,611,719,797,,EC1V
17,Bank,639,613,1357,1814,15600,,EC3
18,Barbican,459,591,774,1550,1200,,EC2Y
19,Blackfriars,310,368,565,2708,,,EC4V
20,Clerkenwell,378,455,612,720,797,,EC1V
21,Farringdon,326,437,565,905,,,EC1M
22,London Bridge,,,,,,,EC4R
23,Mansion House,,,,,,,EC4N
24,Moorgate,459,591,774,1550,1200,,EC2Y
25,The City,,,,,,,EC3
26,Wembley,,302,438,485,623,554,HA9
27,Kingston upon Thames,,328,381,609,615,635,KT1
28,Crouch End,246,313,388,489,,735,N8
29,Dalston,216,375,497,654,1066,,N1
30,East Finchley,,302,329,4494,404,,N2
31,Finchley,232,314,346,467,787,850,N3
32,Highbury & Islington,,377,507,743,1092,1863,N5
33,Highgate,,321,431,764,2663,1535,N6
34,Holloway,243,335,404,557,709,,N7
35,Islington,280,433,554,769,1018,,N1
36,Muswell Hill,200,283,443,472,604,,N10
37,Seven Sisters,,312,366,457,,754,N15
38,Shoreditch,374,405,516,645,852,,N1
39,Tufnell Park,239,340,398,550,741,,N7
40,Whetstone,,323,413,446,,,N20
41,Baker street,347,567,660,1284,1555,,NW1
42,Belsize Park,284,413,592,1023,1549,2511,NW3
43,Camden,334,389,575,870,951,,NW1
44,Chalk Farm,332,425,615,1026,1314,3475,NW1
45,Cricklewood,258,314,376,515,650,703,NW2
46,Dollis Hill,,336,396,485,702,,NW2
47,Edgware Road,,,,,,600,NW9
48,Euston,355,426,620,732,887,8800,NW1
49,Golders Green,274,326,420,509,860,924,NW11
50,Hampstead,1007,476,789,1160,2896,2846,NW3
51,Kensal Rise,,352,399,561,853,1007,NW10
52,Kentish Town,351,360,420,666,922,949,NW5
53,Kilburn,242,350,461,533,844,1305,NW6
54,King's Cross Saint Pancras,359,467,556,685,771,,NW1
55,Marylebone,347,567,660,1284,1555,,NW1
56,Mill Hill,,,438,412,,1200,NW7
57,Primrose Hill,336,450,648,1120,1759,3475,NW1
58,Queens Park,262,373,463,588,1154,,NW6
